recorded_at,wave_height_m,wave_direction_deg,wave_period_s,sea_surface_temp_c,sea_level_height_msl_m
2025-01-04T16:00,0.94,89,6.5,27.8,0.9
2025-01-04T17:00,0.94,90,6.5,27.8,0.87
2025-01-04T18:00,0.94,91,6.55,27.8,0.8
2025-01-04T19:00,0.94,93,6.6,27.8,0.69
2025-01-04T20:00,0.94,94,6.7,27.8,0.56
2025-01-04T21:00,0.94,95,6.8,27.7,0.49
2025-01-04T22:00,0.92,96,6.95,27.7,0.48
2025-01-04T23:00,0.92,97,7.05,27.7,0.52
2025-01-05T00:00,0.92,98,7.15,27.6,0.62
2025-01-05T01:00,0.92,98,7.2,27.6,0.75
2025-01-05T02:00,0.92,99,7.25,27.6,0.87
2025-01-05T03:00,0.92,100,7.3,27.5,0.94
2025-01-05T04:00,0.92,101,7.4,27.5,0.95
2025-01-05T05:00,0.92,102,7.45,27.5,0.91
2025-01-05T06:00,0.92,103,7.5,27.5,0.81
2025-01-05T07:00,0.9,103,7.5,27.5,0.67
2025-01-05T08:00,0.9,104,7.55,27.5,0.52
2025-01-05T09:00,0.9,105,7.6,27.5,0.39
2025-01-05T10:00,0.88,106,7.65,27.5,0.34
2025-01-05T11:00,0.88,107,7.65,27.6,0.35
2025-01-05T12:00,0.88,107,7.6,27.6,0.42
2025-01-05T13:00,0.86,106,7.55,27.6,0.55
2025-01-05T14:00,0.86,106,7.45,27.7,0.69
2025-01-05T15:00,0.84,106,7.25,27.7,0.81
2025-01-05T16:00,0.8,106,7.0,27.8,0.88
2025-01-05T17:00,0.78,106,6.8,27.8,0.9
2025-01-05T18:00,0.8,106,6.75,27.8,0.86
2025-01-05T19:00,0.82,106,6.8,27.8,0.78
2025-01-05T20:00,0.84,106,6.85,27.7,0.67
2025-01-05T21:00,0.84,106,6.9,27.7,0.57
2025-01-05T22:00,0.86,107,7.0,27.7,0.52
2025-01-05T23:00,0.86,107,7.05,27.6,0.53
2025-01-06T00:00,0.86,108,7.1,27.6,0.58
2025-01-06T01:00,0.86,109,7.1,27.6,0.67
2025-01-06T02:00,0.86,110,7.15,27.5,0.77
2025-01-06T03:00,0.84,112,7.25,27.5,0.86
2025-01-06T04:00,0.82,115,7.4,27.4,0.9
2025-01-06T05:00,0.8,117,7.5,27.4,0.9
2025-01-06T06:00,0.8,118,7.5,27.4,0.83
2025-01-06T07:00,0.78,118,7.45,27.4,0.72
2025-01-06T08:00,0.78,119,7.3,27.4,0.6
2025-01-06T09:00,0.8,111,7.05,27.5,0.49
2025-01-06T10:00,0.8,103,6.75,27.5,0.42
2025-01-06T11:00,0.82,95,6.5,27.5,0.41
2025-01-06T12:00,0.82,94,6.4,27.6,0.44
2025-01-06T13:00,0.82,93,6.35,27.6,0.53
2025-01-06T14:00,0.82,92,6.35,27.7,0.64
2025-01-06T15:00,0.8,95,6.35,27.7,0.77
2025-01-06T16:00,0.76,97,6.4,27.8,0.87
2025-01-06T17:00,0.74,100,6.45,27.8,0.92
2025-01-06T18:00,0.72,103,6.5,27.8,0.91
2025-01-06T19:00,0.7,106,6.6,27.7,0.86
2025-01-06T20:00,0.68,109,6.65,27.7,0.79
2025-01-06T21:00,0.66,111,6.7,27.7,0.71
2025-01-06T22:00,0.66,112,6.7,27.6,0.63
2025-01-06T23:00,0.64,114,6.75,27.6,0.6
2025-01-07T00:00,0.64,115,6.8,27.5,0.61
2025-01-07T01:00,0.62,117,6.85,27.5,0.65
2025-01-07T02:00,0.62,118,6.9,27.5,0.71
2025-01-07T03:00,0.6,119,6.95,27.5,0.78
2025-01-07T04:00,0.6,119,6.95,27.4,0.84
2025-01-07T05:00,0.58,120,7.0,27.4,0.85
2025-01-07T06:00,0.58,121,7.05,27.4,0.8
2025-01-07T07:00,0.58,121,7.05,27.4,0.73
2025-01-07T08:00,0.58,122,7.1,27.5,0.64
2025-01-07T09:00,0.58,123,7.2,27.5,0.54
2025-01-07T10:00,0.56,123,7.25,27.5,0.46
2025-01-07T11:00,0.56,124,7.3,27.6,0.42
2025-01-07T12:00,0.56,123,7.25,27.6,0.43
2025-01-07T13:00,0.56,123,7.1,27.7,0.48
2025-01-07T14:00,0.56,122,6.9,27.7,0.57
2025-01-07T15:00,0.58,117,6.65,27.8,0.68
2025-01-07T16:00,0.6,111,6.35,27.8,0.79
2025-01-07T17:00,0.62,106,6.1,27.8,0.87
2025-01-07T18:00,0.66,101,5.9,27.8,0.9
2025-01-07T19:00,0.68,97,5.7,27.8,0.9
2025-01-07T20:00,0.72,92,5.55,27.8,0.88
2025-01-07T21:00,0.76,89,5.4,27.8,0.83
2025-01-07T22:00,0.78,86,5.3,27.7,0.76
2025-01-07T23:00,0.82,83,5.25,27.7,0.71
2025-01-08T00:00,0.82,84,5.3,27.7,0.67
2025-01-08T01:00,0.82,85,5.4,27.7,0.67
2025-01-08T02:00,0.82,86,5.5,27.6,0.68
2025-01-08T03:00,0.78,89,5.6,27.6,0.71
2025-01-08T04:00,0.76,93,5.75,27.6,0.75
2025-01-08T05:00,0.72,96,5.95,27.6,0.77
2025-01-08T06:00,0.7,101,6.2,27.6,0.75
2025-01-08T07:00,0.68,106,6.45,27.6,0.7
2025-01-08T08:00,0.66,111,6.7,27.6,0.64
2025-01-08T09:00,0.64,114,6.9,27.6,0.57
2025-01-08T10:00,0.64,118,7.05,27.6,0.49
2025-01-08T11:00,0.62,121,7.05,27.6,0.43
2025-01-08T12:00,0.62,119,6.9,27.7,0.41
2025-01-08T13:00,0.62,117,6.65,27.7,0.43
2025-01-08T14:00,0.62,115,6.35,27.8,0.48
2025-01-08T15:00,0.66,109,6.1,27.8,0.55
2025-01-08T16:00,0.68,104,5.8,27.9,0.65
2025-01-08T17:00,0.72,98,5.6,27.9,0.74
2025-01-08T18:00,0.76,94,5.45,27.9,0.79
2025-01-08T19:00,0.8,91,5.35,27.9,0.82
2025-01-08T20:00,0.84,87,5.25,27.8,0.85
2025-01-08T21:00,0.88,84,5.15,27.8,0.84
2025-01-08T22:00,0.9,82,5.0,27.8,0.79
2025-01-08T23:00,0.94,79,4.95,27.7,0.74
2025-01-09T00:00,0.96,79,5.0,27.7,0.69
2025-01-09T01:00,0.96,78,5.05,27.7,0.65
2025-01-09T02:00,0.98,78,5.15,27.6,0.62
2025-01-09T03:00,0.96,79,5.25,27.6,0.61
2025-01-09T04:00,0.94,79,5.3,27.6,0.61
2025-01-09T05:00,0.92,80,5.4,27.6,0.61
2025-01-09T06:00,0.9,81,5.5,27.6,0.61
2025-01-09T07:00,0.88,82,5.6,27.6,0.59
2025-01-09T08:00,0.86,83,5.65,27.6,0.55
2025-01-09T09:00,0.86,82,5.6,27.6,0.52
2025-01-09T10:00,0.84,81,5.55,27.6,0.49
2025-01-09T11:00,0.84,80,5.45,27.6,0.46
2025-01-09T12:00,0.84,79,5.35,27.7,0.42
2025-01-09T13:00,0.82,79,5.25,27.7,0.4
2025-01-09T14:00,0.82,78,5.2,27.7,0.4
2025-01-09T15:00,0.82,78,5.15,27.8,0.43
2025-01-09T16:00,0.8,78,5.15,27.8,0.48
2025-01-09T17:00,0.8,78,5.1,27.8,0.53
2025-01-09T18:00,0.8,77,5.05,27.8,0.6
2025-01-09T19:00,0.82,76,5.0,27.8,0.66
2025-01-09T20:00,0.82,75,4.95,27.8,0.71
2025-01-09T21:00,0.84,74,4.9,27.7,0.74
2025-01-09T22:00,0.84,72,4.8,27.7,0.75
2025-01-09T23:00,0.86,71,4.8,27.7,0.73
2025-01-10T00:00,0.86,71,4.85,27.6,0.68
2025-01-10T01:00,0.84,72,4.9,27.6,0.62
2025-01-10T02:00,0.84,72,5.0,27.6,0.58
2025-01-10T03:00,0.82,73,5.1,27.6,0.53
2025-01-10T04:00,0.8,75,5.15,27.5,0.48
2025-01-10T05:00,0.78,76,5.25,27.5,0.46
2025-01-10T06:00,0.78,77,5.3,27.5,0.46
2025-01-10T07:00,0.76,78,5.35,27.5,0.46
2025-01-10T08:00,0.76,79,5.4,27.5,0.46
2025-01-10T09:00,0.78,77,5.4,27.5,0.46
2025-01-10T10:00,0.8,76,5.35,27.6,0.48
2025-01-10T11:00,0.82,74,5.3,27.6,0.48
2025-01-10T12:00,0.84,74,5.25,27.6,0.44
2025-01-10T13:00,0.84,73,5.15,27.7,0.41
2025-01-10T14:00,0.86,73,5.15,27.7,0.4
2025-01-10T15:00,0.96,73,5.25,27.8,0.41
2025-01-10T16:00,1.04,73,5.45,27.8,0.41
2025-01-10T17:00,1.14,73,5.55,27.8,0.43
2025-01-10T18:00,1.14,73,5.6,27.8,0.49
2025-01-10T19:00,1.16,74,5.55,27.8,0.57
2025-01-10T20:00,1.16,74,5.5,27.8,0.65
2025-01-10T21:00,1.14,73,5.4,27.7,0.72
2025-01-10T22:00,1.12,71,5.3,27.7,0.79
2025-01-10T23:00,1.1,70,5.2,27.7,0.83
2025-01-11T00:00,1.08,69,5.1,27.6,0.81
2025-01-11T01:00,1.04,67,5.0,27.6,0.74
2025-01-11T02:00,1.02,66,4.95,27.6,0.68
2025-01-11T03:00,0.98,65,4.9,27.6,0.62
2025-01-11T04:00,0.94,64,4.85,27.5,0.54
2025-01-11T05:00,0.9,63,4.85,27.5,0.47
2025-01-11T06:00,0.88,62,4.85,27.5,0.43
2025-01-11T07:00,0.84,61,4.85,27.5,0.43
2025-01-11T08:00,0.82,60,4.8,27.6,0.45
2025-01-11T09:00,0.78,60,4.7,27.6,0.48
2025-01-11T10:00,0.74,61,4.55,27.6,0.53
2025-01-11T11:00,0.7,61,4.45,27.6,0.58
2025-01-11T12:00,0.76,61,4.5,27.7,0.58
2025-01-11T13:00,0.84,62,4.55,27.7,0.53
2025-01-11T14:00,0.9,62,4.65,27.7,0.5
2025-01-11T15:00,0.98,63,4.7,27.8,0.48
2025-01-11T16:00,1.06,64,4.8,27.8,0.45
2025-01-11T17:00,1.14,65,4.85,27.8,0.41
2025-01-11T18:00,1.14,66,4.95,27.8,0.43
2025-01-11T19:00,1.16,67,5.05,27.8,0.48
2025-01-11T20:00,1.16,68,5.15,27.8,0.58
2025-01-11T21:00,1.14,68,5.2,27.7,0.69
2025-01-11T22:00,1.12,68,5.2,27.7,0.79
2025-01-11T23:00,1.1,68,5.2,27.7,0.88
2025-01-12T00:00,1.08,68,5.2,27.6,0.9
2025-01-12T01:00,1.04,67,5.25,27.6,0.87
2025-01-12T02:00,1.02,67,5.25,27.6,0.79
2025-01-12T03:00,1.0,66,5.25,27.5,0.7
2025-01-12T04:00,0.96,66,5.2,27.5,0.6
2025-01-12T05:00,0.94,65,5.2,27.5,0.49
2025-01-12T06:00,0.92,62,5.2,27.5,0.41
2025-01-12T07:00,0.92,60,5.15,27.5,0.36
2025-01-12T08:00,0.9,57,5.15,27.5,0.37
2025-01-12T09:00,0.9,54,5.1,27.5,0.42
2025-01-12T10:00,0.88,51,5.05,27.5,0.49
2025-01-12T11:00,0.88,48,5.05,27.5,0.56
2025-01-12T12:00,0.88,49,5.05,27.5,0.58
2025-01-12T13:00,0.86,49,5.05,27.5,0.58
2025-01-12T14:00,0.86,50,5.1,27.6,0.55
2025-01-12T15:00,0.86,53,5.15,27.6,0.48
2025-01-12T16:00,0.86,57,5.2,27.6,0.42
2025-01-12T17:00,0.86,60,5.2,27.6,0.37
2025-01-12T18:00,0.88,62,5.2,27.6,0.34
2025-01-12T19:00,0.9,63,5.15,27.6,0.36
2025-01-12T20:00,0.92,65,5.1,27.6,0.43
2025-01-12T21:00,0.94,65,5.1,27.5,0.55
2025-01-12T22:00,0.96,64,5.1,27.5,0.7
2025-01-12T23:00,0.98,64,5.1,27.5,0.82
2025-01-13T00:00,0.98,64,5.15,27.4,0.9
2025-01-13T01:00,0.96,64,5.2,27.4,0.93
2025-01-13T02:00,0.96,64,5.25,27.4,0.86
2025-01-13T03:00,0.94,65,5.35,27.4,0.75
2025-01-13T04:00,0.9,66,5.45,27.3,0.63
2025-01-13T05:00,0.88,67,5.5,27.3,0.49
2025-01-13T06:00,0.86,67,5.5,27.3,0.37
2025-01-13T07:00,0.84,66,5.5,27.3,0.29
2025-01-13T08:00,0.82,66,5.5,27.4,0.28
2025-01-13T09:00,0.82,65,5.45,27.4,0.33
2025-01-13T10:00,0.84,65,5.4,27.4,0.42
2025-01-13T11:00,0.84,64,5.35,27.4,0.52
2025-01-13T12:00,0.88,65,5.4,27.5,0.61
2025-01-13T13:00,0.9,67,5.45,27.5,0.64
2025-01-13T14:00,0.94,68,5.5,27.6,0.63
2025-01-13T15:00,0.96,70,5.55,27.6,0.56
2025-01-13T16:00,0.98,72,5.65,27.7,0.47
2025-01-13T17:00,1.0,74,5.7,27.7,0.37
2025-01-13T18:00,1.0,76,5.75,27.7,0.29
2025-01-13T19:00,0.98,77,5.8,27.7,0.25
2025-01-13T20:00,0.98,79,5.9,27.7,0.29
2025-01-13T21:00,1.04,79,6.05,27.6,0.39
2025-01-13T22:00,1.08,79,6.2,27.6,0.55
2025-01-13T23:00,1.14,79,6.3,27.6,0.7
2025-01-14T00:00,1.1,79,6.35,27.6,0.83
2025-01-14T01:00,1.08,80,6.35,27.5,0.9
2025-01-14T02:00,1.04,80,6.3,27.5,0.89
2025-01-14T03:00,1.02,79,6.25,27.5,0.8
2025-01-14T04:00,1.02,79,6.2,27.4,0.66
2025-01-14T05:00,1.0,78,6.15,27.4,0.51
2025-01-14T06:00,1.0,76,6.05,27.4,0.37
2025-01-14T07:00,1.02,73,5.95,27.4,0.25
2025-01-14T08:00,1.02,71,5.85,27.4,0.2
2025-01-14T09:00,1.04,71,5.85,27.5,0.24
2025-01-14T10:00,1.06,72,5.85,27.5,0.35
2025-01-14T11:00,1.08,72,5.9,27.5,0.47
2025-01-14T12:00,1.12,73,5.9,27.5,0.58
2025-01-14T13:00,1.16,75,5.9,27.5,0.68
2025-01-14T14:00,1.2,76,5.9,27.5,0.71
2025-01-14T15:00,1.24,77,5.95,27.5,0.64
2025-01-14T16:00,1.26,78,6.0,27.5,0.54
2025-01-14T17:00,1.3,79,6.05,27.5,0.41
2025-01-14T18:00,1.32,78,6.1,27.5,0.32
2025-01-14T19:00,1.36,77,6.15,27.5,0.26
2025-01-14T20:00,1.38,76,6.2,27.5,0.26
2025-01-14T21:00,1.36,76,6.3,27.4,0.33
2025-01-14T22:00,1.36,76,6.4,27.4,0.48
2025-01-14T23:00,1.34,76,6.5,27.4,0.66
2025-01-15T00:00,1.32,76,6.6,27.3,0.81
2025-01-15T01:00,1.28,76,6.7,27.3,0.92
2025-01-15T02:00,1.26,76,6.8,27.3,0.97
2025-01-15T03:00,1.22,76,6.9,27.3,0.93
2025-01-15T04:00,1.2,76,7.05,27.2,0.8
2025-01-15T05:00,1.16,76,7.15,27.2,0.65
2025-01-15T06:00,1.16,75,7.2,27.2,0.48
2025-01-15T07:00,1.14,75,7.25,27.2,0.34
2025-01-15T08:00,1.14,74,7.25,27.2,0.26
2025-01-15T09:00,1.16,74,7.25,27.2,0.26
2025-01-15T10:00,1.16,74,7.2,27.2,0.33
2025-01-15T11:00,1.18,74,7.15,27.2,0.47
2025-01-15T12:00,1.18,76,7.15,27.3,0.63
2025-01-15T13:00,1.2,77,7.2,27.3,0.75
2025-01-15T14:00,1.2,79,7.2,27.3,0.8
2025-01-15T15:00,1.22,78,7.15,27.4,0.79
2025-01-15T16:00,1.26,78,7.05,27.4,0.71
2025-01-15T17:00,1.28,77,6.95,27.4,0.58
2025-01-15T18:00,1.3,77,6.9,27.4,0.45
2025-01-15T19:00,1.34,76,6.85,27.4,0.35
2025-01-15T20:00,1.36,76,6.85,27.4,0.3
2025-01-15T21:00,1.36,77,6.85,27.3,0.34
2025-01-15T22:00,1.36,78,6.9,27.3,0.44
2025-01-15T23:00,1.36,79,6.95,27.3,0.6
2025-01-16T00:00,1.34,80,7.0,27.2,0.78
2025-01-16T01:00,1.32,80,7.1,27.2,0.92
2025-01-16T02:00,1.3,81,7.15,27.2,0.99
2025-01-16T03:00,1.28,80,7.15,27.2,0.99
2025-01-16T04:00,1.26,80,7.15,27.1,0.9
2025-01-16T05:00,1.24,79,7.2,27.1,0.75
2025-01-16T06:00,1.3,77,7.35,27.1,0.57
2025-01-16T07:00,1.38,74,7.5,27.1,0.41
2025-01-16T08:00,1.44,72,7.6,27.1,0.29
2025-01-16T09:00,1.44,71,7.5,27.1,0.25
2025-01-16T10:00,1.42,71,7.3,27.1,0.31
2025-01-16T11:00,1.42,70,7.15,27.1,0.43
2025-01-16T12:00,1.4,71,7.05,27.1,0.58
2025-01-16T13:00,1.38,72,7.0,27.1,0.71
2025-01-16T14:00,1.36,73,6.95,27.1,0.8
2025-01-16T15:00,1.34,74,6.95,27.1,0.83
2025-01-16T16:00,1.34,76,6.95,27.1,0.78
2025-01-16T17:00,1.32,77,6.95,27.1,0.65
2025-01-16T18:00,1.32,77,6.95,27.1,0.5
2025-01-16T19:00,1.34,77,6.9,27.1,0.38
2025-01-16T20:00,1.34,77,6.9,27.1,0.31
2025-01-16T21:00,1.36,76,6.9,27.0,0.3
2025-01-16T22:00,1.38,74,6.85,27.0,0.38
2025-01-16T23:00,1.4,73,6.85,27.0,0.52
2025-01-17T00:00,1.38,74,6.85,26.9,0.69
2025-01-17T01:00,1.36,74,6.9,26.9,0.84
2025-01-17T02:00,1.34,75,6.95,26.9,0.95
2025-01-17T03:00,1.32,77,7.05,26.9,0.97
2025-01-17T04:00,1.28,79,7.2,26.8,0.91
2025-01-17T05:00,1.26,81,7.35,26.8,0.78
2025-01-17T06:00,1.22,82,7.45,26.8,0.6
2025-01-17T07:00,1.18,84,7.5,26.8,0.42
2025-01-17T08:00,1.14,85,7.5,26.9,0.28
2025-01-17T09:00,1.14,82,7.4,26.9,0.22
2025-01-17T10:00,1.16,78,7.2,26.9,0.25
2025-01-17T11:00,1.16,75,7.05,26.9,0.35
2025-01-17T12:00,1.16,74,6.95,27.0,0.5
2025-01-17T13:00,1.18,74,6.9,27.0,0.67
2025-01-17T14:00,1.18,73,6.8,27.1,0.81
2025-01-17T15:00,1.2,73,6.65,27.1,0.87
2025-01-17T16:00,1.22,74,6.5,27.2,0.86
2025-01-17T17:00,1.24,74,6.4,27.2,0.77
2025-01-17T18:00,1.24,73,6.3,27.2,0.63
2025-01-17T19:00,1.26,73,6.25,27.2,0.5
2025-01-17T20:00,1.26,72,6.2,27.1,0.41
2025-01-17T21:00,1.3,70,6.2,27.1,0.37
2025-01-17T22:00,1.32,69,6.25,27.1,0.39
2025-01-17T23:00,1.36,67,6.3,27.0,0.49
2025-01-18T00:00,1.32,67,6.35,27.0,0.64
2025-01-18T01:00,1.26,67,6.45,27.0,0.79
2025-01-18T02:00,1.22,67,6.45,26.9,0.9
2025-01-18T03:00,1.16,67,6.4,26.9,0.96
2025-01-18T04:00,1.08,68,6.3,26.8,0.94
2025-01-18T05:00,1.02,68,6.2,26.8,0.83
2025-01-18T06:00,1.02,66,6.2,26.8,0.67
2025-01-18T07:00,1.04,65,6.15,26.8,0.49
2025-01-18T08:00,1.04,63,6.15,26.8,0.34
2025-01-18T09:00,1.08,61,6.05,26.8,0.25
2025-01-18T10:00,1.1,58,5.95,26.9,0.25
2025-01-18T11:00,1.14,56,5.9,26.9,0.33
2025-01-18T12:00,1.14,57,5.95,26.9,0.46
2025-01-18T13:00,1.14,58,6.05,26.9,0.61
2025-01-18T14:00,1.14,59,6.15,26.9,0.76
2025-01-18T15:00,1.12,61,6.25,27.0,0.83
2025-01-18T16:00,1.12,62,6.35,27.0,0.84
2025-01-18T17:00,1.1,64,6.45,27.0,0.8
2025-01-18T18:00,1.08,66,6.5,27.0,0.7
2025-01-18T19:00,1.06,67,6.55,26.9,0.57
2025-01-18T20:00,1.04,69,6.6,26.9,0.45
2025-01-18T21:00,1.02,71,6.75,26.9,0.39
2025-01-18T22:00,1.0,72,6.9,26.9,0.4
2025-01-18T23:00,0.98,74,7.05,26.8,0.47
2025-01-19T00:00,0.98,75,7.15,26.8,0.59
2025-01-19T01:00,0.96,76,7.25,26.8,0.73
2025-01-19T02:00,0.96,77,7.35,26.8,0.86
2025-01-19T03:00,0.98,78,7.4,26.8,0.94
2025-01-19T04:00,0.98,79,7.4,26.7,0.95
2025-01-19T05:00,1.0,80,7.45,26.7,0.9
2025-01-19T06:00,1.0,83,7.55,26.7,0.77
2025-01-19T07:00,0.98,87,7.65,26.7,0.6
2025-01-19T08:00,0.98,90,7.8,26.7,0.43
2025-01-19T09:00,0.96,93,8.0,26.7,0.34
2025-01-19T10:00,0.96,97,8.3,26.7,0.31
2025-01-19T11:00,0.94,100,8.5,26.7,0.36
2025-01-19T12:00,0.94,101,8.65,26.7,0.46
2025-01-19T13:00,0.94,103,8.75,26.7,0.6
2025-01-19T14:00,0.94,104,8.8,26.7,0.74
2025-01-19T15:00,0.96,104,8.85,26.8,0.85
2025-01-19T16:00,0.98,104,8.9,26.8,0.9
2025-01-19T17:00,1.0,104,8.95,26.8,0.88
2025-01-19T18:00,1.0,104,8.95,26.8,0.82
2025-01-19T19:00,1.02,105,9.0,26.8,0.72
2025-01-19T20:00,1.02,105,9.0,26.7,0.61
2025-01-19T21:00,1.02,105,9.05,26.7,0.51
2025-01-19T22:00,1.04,105,9.1,26.7,0.49
2025-01-19T23:00,1.04,105,9.15,26.7,0.53
2025-01-20T00:00,1.06,105,9.25,26.7,0.61
2025-01-20T01:00,1.08,105,9.35,26.6,0.72
2025-01-20T02:00,1.1,105,9.35,26.6,0.84
2025-01-20T03:00,1.1,103,9.2,26.6,0.91
2025-01-20T04:00,1.1,102,9.0,26.5,0.94
2025-01-20T05:00,1.1,100,8.9,26.5,0.91
2025-01-20T06:00,1.12,100,9.0,26.5,0.82
2025-01-20T07:00,1.14,101,9.15,26.5,0.68
2025-01-20T08:00,1.16,101,9.3,26.6,0.53
2025-01-20T09:00,1.16,102,9.35,26.6,0.42
2025-01-20T10:00,1.16,102,9.4,26.6,0.38
2025-01-20T11:00,1.16,103,9.45,26.6,0.39
2025-01-20T12:00,1.16,104,9.5,26.7,0.46
2025-01-20T13:00,1.16,106,9.6,26.7,0.58
2025-01-20T14:00,1.16,107,9.6,26.8,0.71
2025-01-20T15:00,1.16,108,9.55,26.8,0.82
2025-01-20T16:00,1.18,108,9.45,26.9,0.89
2025-01-20T17:00,1.18,109,9.35,26.9,0.89
2025-01-20T18:00,1.18,108,9.15,26.9,0.85
2025-01-20T19:00,1.18,107,8.95,26.9,0.78
2025-01-20T20:00,1.18,106,8.75,26.9,0.68
2025-01-20T21:00,1.18,104,8.6,26.8,0.58
2025-01-20T22:00,1.2,103,8.45,26.8,0.53
